DateTime,GSLOOK_discharge,CS2MET_150_AirTemp,CS2MET_150_humidity,CS2MET_260_precip,CS2MET_250_precip,CS2MET_150_dewPointT,CS2MET_150_vaporPressure,CS2MET_150_vaporPDeficit
2/1/2011,82,-0.7,96.4,0,0,-1.2,5.6,0.2
2/2/2011,76,-1.1,95.5,0,0,-1.8,5.4,0.3
2/3/2011,70,1.5,97.8,0,0,1.1,6.6,0.2
2/4/2011,67,4.3,99.4,1.3,2.1,4.3,8.3,0.1
2/5/2011,80,7,100,6.9,7.3,7,10,0
2/6/2011,83,6.7,100,0.8,0.8,6.7,9.8,0
2/7/2011,85,3.4,100,13,12.3,3.4,7.8,0
2/8/2011,80,1,100,4.3,3.8,1,6.6,0
2/9/2011,73,-1.1,100,0,0.2,-1.1,5.6,0
2/10/2011,68,-0.1,100,0,0.5,-0.1,6.1,0
2/11/2011,65,2.6,100,0,0.4,2.6,7.4,0
2/12/2011,63,3.7,99.8,9.9,9.3,3.7,8,0
2/13/2011,68,5.7,100,2,3,5.7,9.2,0
2/14/2011,73,3.7,100,30,29,3.7,8,0
2/15/2011,107,-0.5,100,53.8,54.1,-0.5,5.9,0
2/16/2011,108,-0.4,100,10.7,9.6,-0.4,5.9,0
2/17/2011,97,-0.3,100,4.1,2.4,-0.3,6,0
2/18/2011,87,-0.2,100,1.3,1.6,-0.2,6,0
2/19/2011,81,-0.1,100,0,0.3,-0.1,6.1,0
2/20/2011,74,-0.2,100,3.3,3.2,-0.2,6,0
2/21/2011,68,-0.3,100,1,1.6,-0.3,6,0
2/22/2011,67,-0.3,100,12.2,14.4,-0.3,6,0
2/23/2011,65,-0.6,100,16,16.3,-0.6,5.8,0
2/24/2011,62,-2.5,99.7,11.4,9.2,-2.5,5.1,0
2/25/2011,57,-7,98.4,0,0,-7.2,3.6,0.1
2/26/2011,55,-6.8,96.5,0,0,-7.2,3.6,0.1
2/27/2011,53,-1.5,99.7,1.5,1.6,-1.6,5.4,0
2/28/2011,65,0.2,100,32.5,32.9,0.2,6.2,0
3/1/2011,112,0.6,100,3.8,3.6,0.6,6.4,0
3/2/2011,124,0.7,100,11.4,11.9,0.7,6.4,0
3/3/2011,124,0.1,100,10.7,11.5,0.1,6.2,0
3/4/2011,127,1,100,22.1,22.4,1,6.6,0
3/5/2011,218,1.6,100,7.1,7.3,1.6,6.9,0
3/6/2011,203,1,100,0,0,1,6.6,0
3/7/2011,163,0.9,99.8,1.8,2.1,0.9,6.5,0
3/8/2011,166,0.7,100,38.4,37.5,0.7,6.4,0
3/9/2011,225,2.7,100,1.3,1.5,2.7,7.4,0
3/10/2011,374,2.2,100,43.9,42.7,2.2,7.2,0
3/11/2011,379,1.5,100,0.5,0.8,1.5,6.8,0
3/12/2011,273,1.2,100,5.1,5,1.2,6.7,0
3/13/2011,236,3,100,13.7,13.6,3,7.6,0
3/14/2011,243,3.5,100,3,2.5,3.5,7.9,0
3/15/2011,308,3.5,100,33.8,36.8,3.5,7.9,0
3/16/2011,402,1,100,27.7,27.6,1,6.6,0
3/17/2011,330,1.5,100,0.8,1.3,1.5,6.8,0
3/18/2011,266,1.7,100,8.9,8.9,1.7,6.9,0
3/19/2011,220,1.1,100,1,1.2,1.1,6.6,0
3/20/2011,184,2.7,100,7.4,7.4,2.7,7.4,0
3/21/2011,175,2.7,100,10.9,10.2,2.7,7.4,0
3/22/2011,162,1.4,100,1.3,1,1.4,6.8,0
3/23/2011,144,2.3,99.8,0,0.4,2.3,7.2,0
3/24/2011,133,2.4,100,4.6,4.4,2.4,7.3,0
3/25/2011,132,1,100,22.9,22,1,6.6,0
3/26/2011,160,1.5,100,23.6,23.4,1.5,6.8,0
3/27/2011,186,1.6,100,23.6,22.7,1.6,6.9,0
3/28/2011,204,2.4,100,8.9,9,2.4,7.3,0
3/29/2011,253,3.3,100,48.5,49.4,3.3,7.7,0
3/30/2011,491,6.7,100,5.6,5.9,6.7,9.8,0
3/31/2011,564,8.5,100,2.5,3.6,8.5,11.1,0
4/1/2011,514,8.9,99.5,2.5,1,8.8,11.3,0.1
4/2/2011,469,2.5,99.7,11.7,11.3,2.5,7.3,0
4/3/2011,343,2.5,99.2,0.3,0.6,2.4,7.3,0.1
4/4/2011,278,5.1,100,30.5,29.4,5.1,8.8,0
4/5/2011,441,3.9,99.6,8.6,7.9,3.8,8,0
4/6/2011,363,0.8,100,34.3,35,0.8,6.5,0
4/7/2011,297,0.4,99.9,1.5,1.1,0.4,6.3,0
4/8/2011,239,1.1,99.7,0,0.2,1,6.6,0
4/9/2011,198,3.4,95.3,0,0,2.7,7.4,0.5
4/10/2011,169,5.2,97.3,4.1,3.2,4.8,8.6,0.3
4/11/2011,176,3.3,99.7,13.7,13.9,3.3,7.7,0
4/12/2011,162,3.6,97.8,0.8,0.1,3.3,7.7,0.2
4/13/2011,147,2.8,99.8,8.6,8,2.7,7.4,0
4/14/2011,145,2.5,100,16.8,17.1,2.5,7.3,0
4/15/2011,226,5.4,100,40.1,40.1,5.4,9,0
4/16/2011,640,7.4,100,29,28.4,7.4,10.3,0
4/17/2011,702,6,98.8,0,0,5.8,9.2,0.1
4/18/2011,441,2.6,88,0,0,0.5,6.3,1.1
4/19/2011,311,2.6,88.4,0,0,0.6,6.4,1.3
4/20/2011,240,4.4,91.6,1.8,1.5,3,7.6,0.9
4/21/2011,195,3,94,1.5,1.8,2.1,7.1,0.5
4/22/2011,162,3.8,88.3,0,0,1.8,7,1.4
4/23/2011,142,6.5,85.4,2.5,2.9,3.8,8,2.1
4/24/2011,143,5.2,99.9,12.2,12.4,5.2,8.8,0
4/25/2011,191,4.5,100,31.5,31.9,4.5,8.4,0
4/26/2011,229,4.1,99.9,14.7,14.6,4.1,8.2,0
4/27/2011,219,5.5,97.2,4.8,4.9,5.1,8.8,0.3
4/28/2011,206,1.8,99.9,19.6,18.9,1.8,7,0
4/29/2011,195,1.9,99.5,14.2,13.7,1.8,7,0
4/30/2011,186,4,95.8,0,0,3.4,7.8,0.4
5/1/2011,170,5.5,91.3,0,0,4.1,8.2,1.1
5/2/2011,163,5.6,96.9,1,1.2,5.1,8.8,0.3
5/3/2011,152,6.1,83.9,0,0,3.1,7.6,2.1
5/4/2011,145,8.2,84.1,0,0,5.2,8.8,2.6
5/5/2011,161,8.7,89.8,0,0,7,10,1.4
5/6/2011,173,7.7,96.4,7.1,6.3,7.1,10.1,0.4
5/7/2011,191,6.7,99.8,3.3,3.6,6.7,9.8,0
5/8/2011,198,4.7,99.8,7.6,7.8,4.7,8.5,0
5/9/2011,178,6.4,97.9,0.8,0.9,6.1,9.4,0.2
5/10/2011,164,9.6,91,0,0,8,10.7,1.6
5/11/2011,181,8.3,95.4,12.4,12.3,7.5,10.4,0.7
5/12/2011,222,7.2,92.4,0.5,1,5.9,9.3,1
