DateTime,GSLOOK_discharge,VARMET_450_AirTemp,VARMET_455_precip,VARMET_swe,VARMET_snowDepth
2009-10-23,19.0,6.6,22.2,0.0,0.0
2009-10-24,23.0,3.7,0.5,0.0,0.0
2009-10-25,15.0,6.9,1.7,0.0,0.0
2009-10-26,34.0,3.7,30.9,0.0,0.0
2009-10-27,46.0,-1.3,10.8,7.0,0.0
2009-10-28,31.0,-1.6,0.5,16.0,39.5
2009-10-29,36.0,2.2,28.3,15.0,79.0
2009-10-30,54.0,6.5,1.7,10.0,16.0
2009-10-31,75.0,5.7,28.0,0.0,0.0
2009-11-01,56.0,3.4,0.0,2.0,0.0
2009-11-02,38.0,6.5,0.0,0.0,0.0
2009-11-03,30.0,8.5,0.0,0.0,0.0
2009-11-04,25.0,13.4,0.0,0.0,0.0
2009-11-05,22.0,6.5,18.2,0.0,0.0
2009-11-06,65.0,0.8,18.1,4.0,5.0
2009-11-07,94.0,-0.2,35.3,1.0,0.0
2009-11-08,111.0,0.2,2.2,24.0,147.0
2009-11-09,82.0,1.1,12.2,25.0,177.0
2009-11-10,87.0,1.3,3.5,28.0,161.0
2009-11-11,84.0,-0.6,14.3,26.0,145.0
2009-11-12,83.0,-2.3,13.8,39.0,238.0
2009-11-13,76.0,-3.2,13.7,51.0,297.0
2009-11-14,64.0,-2.6,1.4,64.0,450.0
2009-11-15,54.0,-0.4,0.0,65.0,423.0
2009-11-16,53.0,3.6,0.0,66.0,390.0
2009-11-17,91.0,0.0,27.2,66.0,338.0
2009-11-18,99.0,-1.8,5.4,81.0,453.0
2009-11-19,86.0,0.5,3.1,86.0,473.0
2009-11-20,82.0,-1.0,26.5,91.0,447.0
2009-11-21,78.0,-2.0,12.8,115.0,665.0
2009-11-22,171.0,-2.0,22.3,128.0,709.0
2009-11-23,132.0,-1.0,0.0,156.0,786.0
2009-11-24,104.0,5.6,0.0,157.0,736.0
2009-11-25,95.0,9.3,1.4,158.0,682.0
2009-11-26,110.0,5.1,18.0,158.0,655.0
